millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),bmptemp(*C),bmppres(PA),bmpalt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX (uT),magY (uT),magZ (uT),UV [0-1023],NO2[0-1023],CO[0-1023],NH3[0-1023],radiation count,rad count per min,uSv/h,uSv/h error,noise events,
1931766,25.43,74721,10.97,27.02,2499.42,12.96,75082.01,2457.94,-252.930,-843.750,12.695,14.458,-184.649,-2.420,-0.900,-53.250,34.650,0,0,0,213,83,4.15,0.08,0.01,0,
1933151,25.43,74636,10.90,27.01,2508.37,12.89,74988.89,2467.83,-503.418,-1014.160,126.953,-25.069,250.130,-8.267,-9.150,-46.500,1.350,0,0,0,210,83,4.17,0.08,0.01,0,
1934537,25.43,74548,10.85,26.96,2517.77,12.85,74896.17,2477.68,36.621,-996.094,160.645,-1.992,-31.267,-4.092,27.750,-49.200,18.450,0,0,0,215,83,4.16,0.08,0.01,0,
1935928,25.42,74463,10.77,27.04,2526.95,12.83,74832.78,2484.42,-117.676,-961.914,401.855,0.443,250.130,-3.824,28.650,-45.600,7.050,0,0,0,213,83,4.16,0.08,0.01,0,
1937314,25.41,74375,10.69,26.96,2536.36,12.76,74741.14,2494.18,-211.426,-926.269,154.785,-6.176,-203.298,-6.763,28.500,-43.050,0.300,0,0,0,213,83,4.15,0.08,0.01,0,
1938700,25.41,74284,10.60,26.97,2546.21,12.71,74646.64,2504.25,42.480,-1025.391,151.367,22.443,-85.832,-1.000,-20.250,-47.250,15.900,0,0,0,214,81,4.07,0.08,0.01,0,
1940090,25.40,74195,10.50,26.96,2555.85,12.64,74548.86,2514.69,-74.707,-1027.344,288.574,-15.145,103.878,2.611,-5.550,-49.950,42.750,0,0,0,214,82,4.11,0.08,0.01,0,
1941477,25.39,74106,10.40,26.96,2565.07,12.59,74486.40,2521.35,-138.672,-1093.262,-133.789,4.489,-64.901,-20.084,5.550,-54.900,34.050,0,0,0,213,82,4.11,0.08,0.01,0,
1942861,25.38,74020,10.29,26.99,2574.31,12.53,74390.55,2531.60,267.090,-1030.273,114.746,-2.137,51.237,21.817,24.750,-49.950,33.300,0,0,0,216,82,4.10,0.08,0.01,0,
1944252,25.37,73937,10.19,26.89,2583.22,12.46,74296.19,2541.69,-46.387,-1019.531,269.043,-7.412,250.130,-1.710,29.550,-40.350,45.750,0,0,0,214,82,4.10,0.08,0.01,0,
1945638,25.36,73853,10.07,26.68,2592.26,12.39,74202.13,2551.77,171.387,-1267.578,-47.852,-7.290,187.809,23.000,-4.500,-42.900,51.300,0,0,0,215,81,4.07,0.08,0.01,0,
1947025,25.36,73772,9.94,26.77,2600.97,12.36,74141.68,2558.24,-13.184,-887.695,238.281,3.038,52.351,-16.214,-26.250,-42.300,19.500,0,0,0,214,81,4.06,0.08,0.01,0,
1948414,25.34,73687,9.79,26.60,2610.13,12.31,74048.24,2568.27,-125.488,-1167.480,615.723,-21.847,134.084,-26.527,-2.700,-40.650,55.650,0,0,0,214,81,4.06,0.08,0.01,0,
1949801,25.33,73607,9.64,26.60,2618.44,12.26,73959.24,2577.83,-488.281,-986.816,414.551,10.038,250.130,-8.267,7.350,-54.600,8.700,0,0,0,212,81,4.05,0.08,0.01,0,
1951187,25.33,73529,9.48,26.46,2627.39,12.20,73897.07,2587.88,66.895,-865.723,407.227,-18.359,250.130,-26.725,0.000,-53.100,5.400,0,0,0,216,80,4.02,0.08,0.01,0,
1952578,25.32,73440,9.33,26.51,2636.90,12.13,73809.32,2593.94,81.543,-921.875,305.176,-7.420,14.076,-19.275,22.200,-38.850,52.200,0,0,0,214,80,4.01,0.08,0.01,0,
