millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),bmptemp(*C),bmppres(PA),bmpalt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX (uT),magY (uT),magZ (uT),UV [0-1023],NO2[0-1023],CO[0-1023],NH3[0-1023],radiation count,rad count per min,uSv/h,uSv/h error,noise events,
3244711,1.80,17365,0.00,46.96,12644.33,-28.93,17919.28,12450.11,-15.137,-1029.297,-22.949,-6.969,-3.229,8.893,-5.100,-47.250,42.000,0,0,0,179,546,27.34,0.52,0.02,0,
3246108,1.77,17328,0.00,47.15,12657.20,-28.95,17891.00,12459.69,-17.578,-1066.406,261.230,-9.092,-81.542,-0.260,-10.800,-52.800,22.950,0,0,0,179,546,27.30,0.51,0.02,0,
3247495,1.74,17290,0.00,46.99,12670.79,-29.02,17848.67,12474.06,-31.250,-1017.090,332.031,-9.450,250.130,-6.420,11.400,-53.100,25.350,0,0,0,178,546,27.41,0.52,0.02,0,
3248880,1.71,17249,0.00,47.02,12685.45,-29.12,17804.81,12488.97,158.691,-1011.719,191.895,-17.870,108.405,-8.504,0.900,-46.650,-3.750,0,0,0,179,549,27.53,0.52,0.02,0,
3250271,1.68,17206,0.00,46.99,12700.49,-29.18,17777.24,12498.36,-33.203,-900.879,245.117,12.947,32.328,-14.168,19.050,-35.700,50.550,0,0,0,179,551,27.60,0.52,0.02,0,
3251658,1.65,17164,0.00,47.12,12714.86,-29.23,17765.85,12502.24,163.574,-791.016,152.344,-4.397,89.947,-11.664,22.350,-40.200,42.600,0,0,0,179,551,27.56,0.52,0.02,0,
3253045,1.62,17126,0.00,47.23,12727.15,-29.27,17733.79,12513.18,-25.879,-989.258,78.125,10.031,34.885,-7.313,-24.300,-43.500,10.500,0,0,0,179,550,27.62,0.52,0.02,0,
3254435,1.59,17096,0.00,47.20,12737.69,-29.35,17689.79,12528.22,-174.805,-1192.383,372.559,-12.565,250.130,-13.473,29.850,-44.250,16.650,0,0,0,179,550,27.59,0.52,0.02,0,
3255821,1.56,17070,0.00,47.07,12746.50,-29.42,17645.76,12543.29,102.051,-1089.844,59.082,-1.382,24.840,-19.260,-2.550,-45.450,-7.200,0,0,0,178,552,27.66,0.52,0.02,0,
3257206,1.54,17041,0.00,47.50,12757.42,-29.45,17617.58,12552.96,-12.695,-1068.848,-80.566,9.748,-84.847,6.130,19.500,-44.550,-2.100,0,0,0,180,555,27.77,0.52,0.02,0,
3258597,1.50,17009,0.00,47.50,12768.37,-29.47,17580.57,12565.67,59.570,-1034.180,-144.531,-6.344,-61.290,2.076,-18.450,-48.000,27.600,0,0,0,178,555,27.88,0.53,0.02,0,
3259983,1.48,16977,0.00,47.28,12779.69,-29.51,17538.58,12580.13,36.133,-1074.707,-42.480,0.916,-32.977,-0.443,12.450,-49.650,3.600,0,0,0,178,556,27.90,0.53,0.02,0,
3261369,1.45,16944,0.00,47.42,12792.08,-29.55,17510.90,12589.67,41.504,-1057.129,30.762,-7.359,204.351,-7.237,-16.800,-47.550,33.150,0,0,0,178,558,27.97,0.53,0.02,0,
3262759,1.42,16906,0.00,47.55,12805.92,-29.60,17471.44,12603.29,-93.262,-989.746,71.777,4.405,-247.733,4.130,-0.300,-48.900,38.400,0,0,0,178,558,27.94,0.53,0.02,0,
3264147,1.39,16867,0.00,47.55,12819.78,-29.65,17429.82,12617.69,-1.465,-953.125,-6.836,6.962,-181.489,4.992,-17.550,-48.600,27.000,0,0,0,177,560,28.00,0.53,0.02,0,
3265533,1.36,16828,0.00,47.58,12833.67,-29.74,17401.11,12627.64,-11.230,-992.187,-89.355,-1.992,-139.748,-5.779,12.000,-47.100,-0.900,0,0,0,184,560,28.11,0.53,0.02,0,
3266924,1.33,16790,0.00,47.66,12846.87,-29.81,17364.25,12640.42,194.824,-977.051,-39.551,4.557,150.985,11.282,18.000,-49.950,19.200,0,0,0,180,562,28.18,0.53,0.02,0,
3268310,1.30,16754,0.00,47.90,12860.09,-29.83,17320.46,12655.65,26.367,-981.934,149.414,7.885,-3.931,-13.290,-13.950,-40.800,46.800,0,0,0,176,564,28.25,0.53,0.02,0,
3269696,1.28,16716,0.00,47.88,12873.70,-29.87,17309.22,12659.57,-107.422,-969.726,101.074,-4.809,-77.366,-12.137,29.550,-34.350,42.450,0,0,0,177,568,28.41,0.54,0.02,0,
3271085,1.25,16678,0.00,48.07,12886.97,-29.86,17271.28,12672.79,-122.070,-986.328,144.531,-7.275,-191.389,14.511,-19.800,-47.550,25.950,0,0,0,178,569,28.57,0.54,0.02,0,
3272472,1.22,16643,0.00,47.44,12899.55,-29.88,17226.04,12688.58,-46.875,-971.191,145.020,-5.962,-61.443,-5.374,14.400,-50.700,27.900,0,0,0,177,574,28.79,0.54,0.02,0,
3273860,1.19,16607,0.00,48.04,12912.87,-29.87,17198.35,12698.27,47.852,-930.664,156.738,-6.137,182.809,-13.290,1.650,-53.250,12.750,0,0,0,177,575,28.81,0.54,0.02,0,
3275249,1.16,16573,0.00,47.79,12924.41,-29.87,17155.03,12713.44,73.242,-1084.473,221.191,-21.595,-136.122,3.878,-10.050,-51.300,4.800,0,0,0,178,576,28.82,0.54,0.02,0,
3276636,1.14,16543,0.00,47.79,12934.88,-29.88,17126.79,12723.36,-11.230,-1080.566,82.031,15.794,-140.000,-5.061,20.250,-30.450,52.650,0,0,0,177,578,29.04,0.55,0.02,0,
3278021,1.11,16510,0.00,47.85,12947.17,-29.87,17099.45,12732.96,29.785,-1022.949,70.801,-12.389,-13.313,1.214,-19.050,-30.300,52.050,0,0,0,177,580,29.10,0.55,0.02,0,
3279419,1.08,16478,0.00,47.88,12958.40,-29.86,17057.47,12747.74,76.172,-1134.277,-9.277,-9.313,-48.603,15.321,-26.250,-42.300,23.550,0,0,0,177,582,29.17,0.55,0.02,0,
3280805,1.05,16447,0.00,48.24,12969.65,-29.89,17016.43,12762.21,9.277,-1133.301,20.508,16.534,-156.221,4.450,10.800,-51.300,5.250,0,0,0,178,583,29.19,0.55,0.02,0,
3282192,1.02,16413,0.00,48.51,12982.37,-29.90,16990.65,12771.32,26.367,-1035.156,43.945,-0.458,-98.145,2.168,-3.600,-52.200,25.050,0,0,0,178,586,29.30,0.55,0.02,0,
3283582,0.99,16379,0.00,48.24,12995.11,-29.91,16950.09,12785.67,-140.137,-950.684,105.957,7.832,-193.542,-15.313,-6.000,-52.500,16.050,0,0,0,178,586,29.41,0.55,0.02,0,
3284969,0.97,16342,0.00,47.77,13008.24,-29.91,16916.50,12797.58,-232.422,-972.656,196.289,7.901,-163.672,-10.626,11.850,-44.550,42.000,0,0,0,177,586,29.38,0.55,0.02,0,
3286362,0.93,16308,0.00,47.63,13020.29,-29.91,16889.59,12807.13,-187.012,-1000.488,372.559,-3.252,250.130,-9.397,27.000,-46.500,16.200,0,0,0,177,587,29.40,0.55,0.02,0,
3287751,0.90,16277,0.00,48.24,13032.00,-29.92,16849.40,12821.42,104.004,-1001.465,-46.387,-6.855,30.313,-9.931,-10.650,-46.950,-1.800,0,0,0,177,588,29.41,0.55,0.02,0,
3289139,0.88,16245,0.00,48.37,13043.36,-29.95,16811.43,12834.94,-73.730,-944.336,395.508,-12.992,245.733,-19.870,6.150,-43.050,46.800,0,0,0,177,590,29.63,0.56,0.02,0,
3290526,0.85,16214,0.00,48.15,13055.11,-29.95,16785.96,12844.02,-23.926,-944.336,220.215,-3.344,-94.145,-10.260,3.000,-51.750,3.450,0,0,0,177,592,29.69,0.56,0.02,0,
3291916,0.82,16184,0.00,48.54,13065.76,-29.96,16747.73,12857.69,-100.098,-1035.645,319.336,0.847,250.130,-28.740,-11.550,-46.650,37.950,0,0,0,188,595,29.81,0.56,0.02,0,
3293303,0.79,16154,0.00,48.32,13076.81,-29.98,16712.60,12870.26,40.039,-1131.348,22.949,-19.580,-97.038,4.031,-26.400,-43.350,12.750,0,0,0,173,601,30.07,0.57,0.02,0,
3294690,0.77,16124,0.00,48.10,13087.87,-30.00,16688.73,12878.82,111.328,-1002.441,43.457,-3.427,74.870,2.351,26.400,-40.950,37.200,0,0,0,175,602,30.24,0.57,0.02,0,
3296080,0.74,16091,0.00,48.04,13100.42,-29.99,16653.13,12891.60,-201.172,-945.312,242.676,0.198,185.374,0.840,17.700,-34.350,50.100,0,0,0,176,604,30.31,0.57,0.02,0,
3297467,0.71,16058,0.00,48.60,13112.63,-29.97,16620.86,12903.20,-148.438,-982.910,149.414,-6.382,-126.321,-6.321,25.800,-38.550,39.900,0,0,0,176,606,30.37,0.57,0.02,0,
3298854,0.68,16026,0.00,48.54,13124.12,-29.94,16598.26,12911.33,-39.062,-1045.898,94.238,-4.435,27.282,-4.954,9.150,-47.250,39.150,0,0,0,178,606,30.34,0.57,0.02,0,
3300244,0.65,15995,0.00,48.68,13135.99,-29.86,16567.41,12922.45,-85.449,-1030.762,-93.750,14.832,18.809,-6.542,14.550,-50.550,13.500,0,0,0,177,610,30.50,0.58,0.02,0,
3301632,0.62,15962,0.00,48.35,13147.51,-29.83,16542.40,12931.48,13.672,-970.215,301.758,-10.916,90.542,-4.313,8.100,-54.150,19.200,0,0,0,176,611,30.67,0.58,0.02,0,
3303018,0.59,15932,0.00,48.40,13159.05,-29.80,16504.11,12945.32,56.152,-1050.781,-30.273,-12.328,34.252,-20.092,-12.900,-49.200,7.950,0,0,0,176,612,30.68,0.58,0.02,0,
3304406,0.56,15900,0.00,48.85,13170.99,-29.80,16466.10,12959.09,168.457,-1038.086,65.430,0.168,118.748,-4.809,-8.700,-43.350,44.850,0,0,0,177,612,30.65,0.58,0.02,0,
3305796,0.53,15870,0.00,48.51,13182.19,-29.78,16448.27,12965.56,94.238,-984.863,160.156,-6.008,37.176,-2.008,25.800,-45.450,12.600,0,0,0,176,612,30.61,0.58,0.02,1,
3307184,0.51,15840,0.00,49.23,13193.78,-29.70,16412.31,12978.62,-6.836,-915.039,-49.805,3.244,-50.595,3.779,15.450,-45.000,-4.350,0,0,0,177,613,30.78,0.58,0.02,0,
3308570,0.48,15809,0.00,49.14,13205.40,-29.65,16376.05,12991.81,-44.922,-930.664,0.488,11.252,-123.939,14.695,-13.650,-50.700,8.250,0,0,0,176,615,30.84,0.58,0.02,0,
3309962,0.45,15779,0.00,48.80,13215.53,-29.63,16351.53,13000.75,-40.039,-932.617,233.398,-5.573,137.840,-4.137,-7.500,-52.500,9.900,0,0,0,176,615,30.81,0.58,0.02,0,
3311349,0.42,15753,0.00,49.37,13225.29,-29.62,16315.76,13013.80,107.910,-1016.601,63.477,-6.695,8.588,-17.733,-23.850,-46.350,19.050,0,0,0,177,615,30.77,0.58,0.02,0,
3312736,0.39,15730,0.00,49.03,13234.32,-29.61,16285.87,13024.73,35.645,-1023.926,113.281,-3.420,89.305,-2.588,31.200,-41.400,24.150,0,0,0,176,616,30.94,0.58,0.02,0,
3314135,0.36,15706,0.00,49.29,13242.61,-29.60,16264.61,13032.51,110.840,-1037.109,91.797,-1.916,71.695,-2.061,7.200,-43.350,-9.600,0,0,0,176,616,30.91,0.58,0.02,0,
3315521,0.33,15683,0.00,49.20,13251.28,-29.60,16232.97,13044.10,106.445,-1082.031,64.941,-6.359,124.084,3.176,-27.000,-43.050,26.850,0,0,0,176,617,30.92,0.58,0.02,0,
3316908,0.31,15660,0.00,49.14,13260.34,-29.60,16202.71,13055.21,50.293,-1119.141,36.133,-15.664,-58.015,11.817,-12.450,-48.000,34.500,0,0,0,177,619,30.98,0.58,0.02,0,
3318299,0.28,15634,0.00,49.55,13270.92,-29.61,16181.38,13063.05,62.988,-1072.266,75.195,4.763,-53.824,0.244,4.800,-52.650,7.500,0,0,0,176,621,31.21,0.59,0.02,0,
3319686,0.25,15603,0.00,49.72,13283.04,-29.66,16148.95,13074.99,24.902,-1072.754,81.055,-0.573,-10.748,5.031,15.600,-51.000,17.550,0,0,0,176,623,31.27,0.59,0.02,0,
3321073,0.22,15570,0.00,49.17,13295.94,-29.72,16115.36,13087.37,-19.043,-1026.367,53.711,-7.290,152.260,-2.656,9.000,-47.850,-2.250,0,0,0,176,626,31.38,0.59,0.02,0,
3322464,0.19,15533,0.00,49.34,13310.00,-29.77,16091.94,13096.01,7.324,-1044.434,195.801,-0.237,184.672,-2.008,24.900,-44.400,29.100,0,0,0,176,628,31.45,0.59,0.02,0,
3323851,0.16,15495,0.00,49.70,13324.84,-29.82,16056.99,13108.93,-152.344,-1028.809,162.598,-0.405,-119.511,-10.099,-9.900,-47.700,-0.600,0,0,0,176,630,31.51,0.59,0.02,0,
3325238,0.14,15456,0.00,49.52,13339.34,-29.91,16019.37,13122.87,136.719,-918.457,-59.082,-3.954,5.122,2.901,23.100,-44.400,1.500,0,0,0,176,635,31.88,0.60,0.02,0,
3326629,0.11,15419,0.00,50.08,13353.86,-29.95,15993.20,13132.57,-43.457,-898.437,0.000,-7.466,12.840,-5.015,-37.650,-28.950,22.500,0,0,0,181,637,31.95,0.60,0.02,0,
3328016,0.08,15381,0.00,49.64,13367.65,-30.02,15969.08,13141.53,-150.391,-1028.320,-105.469,-4.916,78.382,-17.725,36.750,-33.000,17.250,0,0,0,176,641,32.11,0.61,0.02,0,
3329403,0.05,15346,0.00,49.67,13381.08,-30.02,15931.81,13155.40,-139.648,-1055.176,375.000,0.053,-250.137,23.931,-8.250,-49.050,0.150,0,0,0,173,641,32.07,0.60,0.02,1,
3330794,0.03,15310,0.00,50.26,13394.54,-30.05,15905.58,13165.17,-68.359,-994.629,73.730,3.427,-117.886,-7.672,-17.700,-47.700,18.450,0,0,0,173,643,32.30,0.61,0.02,0,
3332182,0.00,15277,0.00,50.05,13407.63,-30.09,15863.48,13180.89,176.758,-901.855,-94.727,7.107,85.313,-0.550,20.250,-46.950,2.850,0,0,0,189,645,32.36,0.61,0.02,0,
3333568,-0.03,15242,0.00,50.35,13421.13,-30.16,15824.37,13195.52,121.582,-1011.719,26.855,-2.992,-250.137,24.756,0.450,-50.550,37.500,0,0,0,164,645,32.32,0.61,0.02,0,
3334958,-0.05,15210,0.00,49.99,13433.12,-30.19,15801.34,13204.14,59.570,-938.965,168.945,21.603,-250.137,-4.038,-24.000,-44.550,26.850,0,0,0,170,649,32.49,0.61,0.02,0,
3336343,-0.08,15182,0.00,49.93,13443.18,-30.22,15765.62,13217.54,68.359,-837.891,16.602,-13.901,-100.267,4.824,-27.150,-41.700,19.050,0,0,0,173,652,32.76,0.62,0.02,0,
3337729,-0.11,15155,0.00,50.11,13453.65,-30.25,15730.35,13230.80,-98.145,-896.484,105.469,9.305,-69.237,6.122,-5.250,-49.350,-0.150,0,0,0,175,652,32.72,0.62,0.02,1,
3339118,-0.14,15134,0.00,50.60,13461.02,-30.27,15709.57,13238.63,-17.090,-1026.855,-43.457,-2.809,3.542,-6.015,20.250,-45.450,2.100,0,0,0,177,652,32.69,0.62,0.02,0,
3340506,-0.16,15118,0.00,50.23,13466.46,-30.28,15683.34,13248.51,47.852,-1142.090,45.898,-0.763,-120.229,0.557,-12.900,-48.450,34.050,0,0,0,175,653,32.70,0.62,0.02,0,
3341892,-0.19,15104,0.00,50.14,13472.29,-30.28,15655.73,13258.93,130.859,-1113.770,166.504,-2.679,29.298,18.214,19.350,-49.050,19.050,0,0,0,174,654,32.71,0.62,0.02,0,
3343282,-0.22,15086,0.00,50.02,13479.68,-30.27,15637.61,13265.78,-4.395,-1076.660,-16.602,-16.817,37.458,-3.115,3.000,-43.350,-11.400,0,0,0,175,656,32.94,0.62,0.02,0,
3344668,-0.25,15063,0.00,49.93,13489.81,-30.27,15608.91,13276.63,45.410,-1068.848,89.844,2.023,23.511,6.595,4.500,-43.650,-7.800,0,0,0,183,657,32.95,0.62,0.02,0,
3346055,-0.27,15035,0.00,50.29,13501.52,-30.30,15579.23,13288.04,3.418,-1034.180,8.301,2.214,-78.290,4.626,-11.100,-46.950,-1.800,0,0,0,172,658,32.96,0.62,0.02,0,
3347450,-0.30,15004,0.00,49.64,13512.85,-30.33,15558.03,13295.92,-100.098,-1016.601,29.297,-5.511,-135.718,-5.947,28.500,-43.800,21.750,0,0,0,175,661,33.07,0.62,0.02,0,
3348837,-0.33,14972,0.00,49.93,13526.16,-30.37,15527.34,13307.58,127.930,-985.840,110.840,-9.405,-123.710,15.771,2.550,-47.250,-4.950,0,0,0,175,661,33.20,0.63,0.02,0,
3350222,-0.35,14938,0.00,50.02,13539.10,-30.40,15505.07,13316.05,23.926,-995.117,309.570,-6.626,178.504,-17.748,-20.850,-40.200,41.550,0,0,0,173,663,33.26,0.63,0.02,0,
3351612,-0.38,14905,0.00,50.32,13552.06,-30.43,15484.60,13323.85,145.996,-1009.766,65.918,-16.725,-17.534,4.214,10.050,-44.400,43.350,0,0,0,174,666,33.37,0.63,0.02,0,
3352999,-0.41,14872,0.00,50.20,13565.45,-30.42,15452.21,13336.20,-29.785,-947.754,323.242,6.489,250.130,-18.534,-17.550,-50.550,16.800,0,0,0,175,668,33.44,0.63,0.02,0,
3354387,-0.44,14837,0.00,50.41,13579.25,-30.43,15428.68,13345.19,31.738,-911.133,98.145,3.176,-152.244,-4.473,-19.500,-40.800,40.650,0,0,0,175,671,33.72,0.64,0.02,0,
3355777,-0.47,14802,0.00,50.53,13593.08,-30.47,15390.19,13359.91,19.043,-813.965,215.332,-3.053,-184.626,7.298,32.100,-43.050,16.200,0,0,0,175,671,33.68,0.64,0.02,0,
3357164,-0.49,14770,0.00,50.29,13604.95,-30.47,15389.25,13360.28,19.043,-979.004,-16.113,-1.115,115.740,-8.626,31.350,-36.150,33.000,0,0,0,175,671,33.64,0.63,0.02,0,
3358551,-0.52,14744,0.00,50.38,13614.86,-30.44,15364.14,13369.90,-110.352,-1145.020,36.621,18.008,-95.550,-15.763,25.650,-43.350,4.500,0,0,0,183,673,33.70,0.64,0.02,0,
3359938,-0.54,14719,0.00,50.38,13624.39,-30.39,15329.89,13383.04,95.703,-1092.285,20.508,3.168,151.160,-23.069,8.250,-51.750,19.050,0,0,0,174,675,33.76,0.64,0.02,0,
3361326,-0.57,14694,0.00,50.60,13635.12,-30.34,15290.76,13398.09,-38.086,-1041.504,54.199,0.344,52.069,-11.557,-6.450,-52.800,19.050,0,0,0,174,674,33.84,0.64,0.02,0,
3362713,-0.60,14666,0.00,50.53,13646.26,-30.32,15264.87,13408.07,56.641,-1100.098,91.797,9.656,129.153,12.763,-0.300,-48.900,36.600,0,0,0,174,674,33.80,0.64,0.02,0,
3364100,-0.62,14635,0.00,50.72,13659.42,-30.31,15228.63,13422.05,9.766,-962.402,36.133,0.389,95.901,-5.046,-15.300,-45.600,0.450,0,0,0,175,675,33.81,0.64,0.02,0,
3365490,-0.65,14603,0.00,50.69,13672.21,-30.32,15189.73,13437.09,108.398,-1002.441,109.863,-11.863,33.954,2.595,-15.900,-44.550,38.400,0,0,0,175,677,33.87,0.64,0.02,0,
3366876,-0.67,14571,0.00,50.50,13685.01,-30.32,15164.38,13446.91,19.043,-957.519,398.926,-3.947,-250.137,4.771,22.650,-47.100,12.450,0,0,0,172,676,33.95,0.64,0.02,1,
3368263,-0.70,14539,0.00,50.60,13697.84,-30.32,15136.26,13457.81,-50.293,-950.195,264.648,0.221,90.290,1.244,23.250,-43.800,34.800,0,0,0,183,676,33.91,0.64,0.02,1,
3369652,-0.73,14508,0.00,50.69,13709.89,-30.26,15103.14,13470.68,-86.426,-1023.437,169.922,-0.786,-250.137,16.458,24.900,-40.650,39.750,0,0,0,172,676,33.87,0.64,0.02,1,
3371039,-0.75,14477,0.00,50.66,13722.36,-30.24,15077.23,13480.76,-6.836,-956.543,214.355,-3.695,-93.511,-4.046,27.450,-45.900,13.500,0,0,0,174,676,33.83,0.64,0.02,0,
3372426,-0.78,14447,0.00,50.38,13734.45,-30.18,15044.45,13493.54,7.812,-981.934,22.461,6.939,39.878,-2.267,18.600,-45.150,1.200,0,0,0,175,678,34.07,0.64,0.02,0,
3373816,-0.81,14419,0.00,50.53,13745.34,-30.13,15010.65,13506.73,200.684,-1051.270,97.656,-0.321,-43.389,-3.328,23.250,-45.750,28.650,0,0,0,175,678,34.03,0.64,0.02,1,
3375204,-0.84,14390,0.00,50.50,13757.07,-30.06,14990.52,13514.60,-24.414,-1066.895,143.555,-2.893,-159.634,3.137,18.450,-46.950,31.200,0,0,0,174,682,34.19,0.64,0.02,0,
3376591,-0.86,14361,0.00,50.81,13769.21,-29.96,14955.75,13528.22,35.645,-1009.766,174.805,3.420,-2.275,11.496,-14.700,-49.950,13.050,0,0,0,174,683,34.20,0.64,0.02,0,
3377982,-0.89,14330,0.00,50.84,13782.19,-29.91,14917.73,13543.14,-36.621,-1012.207,217.773,6.458,-129.527,4.885,14.700,-51.450,21.750,0,0,0,174,683,34.16,0.64,0.02,1,
3379369,-0.92,14298,0.00,51.06,13795.20,-29.87,14894.53,13552.25,-6.348,-998.047,25.391,-5.809,16.992,2.855,13.950,-51.450,27.600,0,0,0,174,683,34.29,0.65,0.02,0,
3380757,-0.95,14265,0.00,51.03,13808.22,-29.80,14863.62,13564.41,7.812,-936.523,47.363,-3.809,-224.275,0.046,-19.350,-48.600,13.200,0,0,0,175,685,34.35,0.65,0.02,0,
3382155,-0.98,14235,0.00,50.72,13820.46,-29.74,14827.11,13578.81,-9.766,-903.809,24.414,-0.458,-202.053,-4.870,-22.950,-45.000,24.300,0,0,0,174,688,34.46,0.65,0.02,0,
3383542,-1.00,14206,0.00,50.75,13831.89,-29.71,14803.47,13588.15,-49.805,-869.141,147.949,-15.695,-93.427,0.153,25.650,-44.400,31.050,0,0,0,175,688,34.42,0.65,0.02,1,
3384929,-1.03,14180,0.00,50.69,13841.71,-29.65,14773.17,13600.13,-8.789,-981.934,75.684,2.679,-80.947,8.748,-17.100,-47.850,32.400,0,0,0,174,687,34.50,0.65,0.02,1,
3386320,-1.06,14160,0.00,50.78,13849.49,-29.61,14741.81,13612.55,9.766,-1076.172,136.719,4.443,-107.252,7.779,11.850,-49.200,1.800,0,0,0,175,688,34.51,0.65,0.02,0,
3387707,-1.08,14143,0.00,50.66,13856.46,-29.58,14725.37,13619.08,-26.367,-1138.184,46.387,-0.153,83.908,2.763,25.800,-46.950,15.600,0,0,0,175,692,34.67,0.65,0.02,0,
3389094,-1.11,14125,0.00,50.81,13864.26,-29.53,14696.46,13630.56,-3.418,-1106.934,120.605,-10.084,118.359,-3.519,-16.800,-45.600,1.200,0,0,0,175,696,34.83,0.66,0.02,0,
3390485,-1.13,14103,0.00,50.78,13873.71,-29.52,14670.89,13640.73,34.668,-1060.059,160.645,-3.099,108.420,-6.802,12.750,-42.150,44.850,0,0,0,174,696,34.97,0.66,0.02,1,
3391873,-1.16,14076,0.00,50.81,13885.24,-29.50,14655.83,13646.73,26.367,-1037.109,80.078,-7.313,-131.985,8.786,-8.400,-43.500,43.200,0,0,0,174,697,34.98,0.66,0.02,0,
3393260,-1.18,14047,0.00,50.81,13897.60,-29.51,14622.49,13660.03,-2.930,-959.473,21.973,0.046,-64.305,7.069,2.850,-47.250,-3.150,0,0,0,174,697,34.94,0.66,0.02,1,
3394651,-1.21,14016,0.00,50.84,13910.40,-29.53,14588.64,13673.55,65.430,-925.781,40.527,0.534,233.168,-5.298,-21.750,-46.200,28.650,0,0,0,174,698,34.95,0.66,0.02,0,
3396037,-1.24,13987,0.00,51.25,13921.99,-29.56,14567.94,13681.83,2.441,-927.246,210.937,-4.122,188.901,4.412,-21.150,-46.650,21.600,0,0,0,175,701,35.06,0.66,0.02,0,
3397423,-1.26,13960,0.00,51.28,13932.76,-29.59,14545.32,13690.89,67.871,-885.254,13.184,2.137,124.641,-2.794,16.350,-48.300,32.850,0,0,0,175,702,35.24,0.66,0.03,0,
3398812,-1.28,13936,0.00,51.15,13942.72,-29.59,14524.00,13699.44,82.520,-940.430,4.395,1.313,109.748,-4.122,-13.800,-50.100,9.150,0,0,0,173,706,35.40,0.67,0.03,0,
3400200,-1.31,13913,0.00,51.28,13951.02,-29.62,14495.07,13711.07,-68.848,-978.516,187.988,5.466,250.130,-12.458,-5.550,-50.400,3.150,0,0,0,174,708,35.46,0.67,0.03,0,
3401586,-1.33,13897,0.00,51.21,13957.68,-29.65,14469.86,13721.21,-52.734,-1035.156,-47.363,10.595,9.496,0.595,9.300,-47.550,37.200,0,0,0,175,711,35.57,0.67,0.03,0,
3402977,-1.36,13882,0.00,51.15,13963.92,-29.68,14453.69,13727.72,121.094,-961.426,14.648,-3.679,1.954,0.817,-26.400,-44.100,17.850,0,0,0,175,712,35.76,0.67,0.03,0,
3404363,-1.38,13866,0.00,51.00,13970.59,-29.72,14430.45,13737.09,-30.762,-994.629,52.734,-12.756,140.580,-15.214,20.700,-45.750,34.500,0,0,0,174,713,35.77,0.67,0.03,0,
3405751,-1.41,13854,0.00,51.47,13975.17,-29.72,14408.28,13746.04,-128.418,-1093.262,20.996,3.618,13.397,-9.290,-12.900,-51.150,14.400,0,0,0,174,715,35.82,0.68,0.03,0,
3407140,-1.43,13840,0.00,50.84,13981.43,-29.74,14393.46,13752.02,-165.527,-1115.234,81.055,4.321,-205.679,5.969,21.600,-46.650,11.400,0,0,0,174,718,35.93,0.68,0.03,0,
3408528,-1.46,13824,0.00,50.75,13988.11,-29.75,14373.49,13760.11,-124.023,-1096.680,163.086,-4.504,-72.084,5.305,-19.500,-45.750,6.450,0,0,0,174,718,36.07,0.68,0.03,0,
3409913,-1.48,13805,0.00,50.63,13996.48,-29.77,14350.43,13769.44,-60.547,-1055.176,-0.977,-14.527,-27.687,-2.748,-9.150,-41.250,-10.050,0,0,0,173,720,36.13,0.68,0.03,0,
3411303,-1.51,13783,0.00,50.90,14006.52,-29.79,14334.54,13775.89,61.035,-1043.457,166.992,0.504,250.130,1.542,-29.550,-40.350,26.100,0,0,0,175,720,36.09,0.68,0.03,1,
3412690,-1.54,13758,0.00,50.81,14017.00,-29.81,14311.78,13785.12,133.301,-1040.039,167.480,4.115,106.145,-6.802,14.700,-49.650,6.150,0,0,0,174,721,36.10,0.68,0.03,0,
3414077,-1.56,13731,0.00,50.84,14028.34,-29.83,14284.65,13796.15,122.070,-1103.027,-14.160,4.489,-88.794,-2.099,-6.000,-51.750,5.850,0,0,0,174,723,36.16,0.68,0.03,0,
3415476,-1.59,13702,0.00,50.66,14041.38,-29.85,14270.09,13802.08,-21.973,-1041.016,297.363,-2.824,-250.137,15.534,-11.850,-51.150,11.550,0,0,0,174,724,36.35,0.69,0.03,0,
3416863,-1.61,13671,0.00,50.75,14054.44,-29.88,14241.48,13813.73,-43.457,-985.351,104.492,1.672,42.710,-4.679,14.850,-50.550,24.750,0,0,0,174,728,36.50,0.69,0.03,0,
3418250,-1.63,13640,0.00,51.06,14067.53,-29.90,14211.68,13825.89,232.910,-979.492,-130.371,2.191,143.710,3.458,8.850,-51.900,6.450,0,0,0,182,728,36.46,0.69,0.03,0,
3419639,-1.66,13609,0.00,51.21,14080.64,-29.92,14191.02,13834.34,123.047,-1002.930,-117.187,22.794,20.641,1.725,-10.350,-47.250,37.650,0,0,0,173,732,36.62,0.69,0.03,0,
3421025,-1.68,13579,0.00,51.18,14092.92,-29.95,14166.55,13844.36,-51.758,-890.625,-125.488,-10.931,-88.412,-14.084,22.350,-41.700,-1.500,0,0,0,171,736,36.96,0.70,0.03,0,
3422410,-1.70,13554,0.00,51.21,14103.53,-29.97,14137.04,13856.45,211.914,-865.234,233.398,16.267,-73.053,7.420,-8.100,-48.900,-0.600,0,0,0,170,738,37.02,0.70,0.03,0,
3423800,-1.73,13527,0.00,51.09,14114.16,-29.98,14116.42,13864.91,-48.340,-906.250,176.758,-9.588,-86.878,6.870,0.450,-53.250,1.500,0,0,0,173,740,37.08,0.70,0.03,0,
