millis, UV [0-1023], BME_1_Temp, BME_1_Pres, BME_1_Hum, BME_1_Res, BME_1_Alt, BME_2_Temp, BME_2_Pres, BME_2_Hum, BME_2_Res, BME_2_Alt, Scaled. Acc.X, Scaled. Acc.Y, Scaled. Acc.Z, Gyr.X, Gyr.Y, Gyr.Z, Mag.X, Mag.Y, Mag.Z, Tmp, Radiation_count, counts_per_minute, uSvh, uSvhError, noiseCount, Ozone (PPB.), 
66543, 0,28.27925,27601,25.38160,111.54700,705.07495,27.41390,27609,27.52732,141.97200,704.45135,0.97656, -2.92969, 1030.76170, -0.34351, 1.04580, 0.45802, 24.60000, -21.15000, 59.70000, 33.06158, 4,3.62878,0.06843,0.03421,0,20, 
68283, 0,28.27957,27602,25.41999,110.73300,704.98511,27.41609,27609,27.53311,141.00900,704.45135,-7.81250, 4.39453, 1030.27340, -1.03053, 1.71756, 2.91603, 25.35000, -20.70000, 58.95000, 33.49289, 4,3.53560,0.06667,0.03333,0,20, 
70026, 0,28.28336,27603,25.45866,111.69600,704.89526,27.41860,27609,27.55573,141.12900,704.45135,-8.78906, 1.46484, 1028.80860, -1.25954, 4.46565, -0.25191, 24.75000, -20.55000, 59.55000, 33.34912, 4,3.44729,0.06500,0.03250,0,20, 
71766, 0,28.28936,27603,25.48105,110.88000,704.89526,27.42236,27608,27.57286,140.77000,704.45135,0.00000, 1.95312, 1032.22660, 1.22901, 1.16031, -1.51145, 24.15000, -20.70000, 60.00000, 33.25327, 4,3.36309,0.06342,0.03171,0,20, 
73508, 0,28.29600,27603,25.48704,110.88000,704.89526,27.42393,27608,27.58981,141.24800,704.54120,-9.27734, -5.37109, 1027.34380, -0.00763, 0.59542, -0.72519, 24.90000, -20.40000, 61.20000, 33.44496, 4,3.28304,0.06191,0.03095,0,20, 
75248, 0,28.30042,27603,25.51480,111.99600,704.98511,27.42331,27608,27.60098,140.88901,704.54120,-8.30078, 11.71875, 1041.50390, -2.29771, 1.81679, -0.77863, 26.10000, -21.15000, 61.50000, 33.15742, 6,4.81000,0.09070,0.03703,0,20, 
76991, 0,28.30326,27601,25.49856,112.22200,705.07495,27.41954,27608,27.59507,141.73000,704.45135,-15.62500, 5.85937, 1027.34380, -1.83969, 4.35115, -4.58015, 24.75000, -19.80000, 59.85000, 33.58873, 6,4.70066,0.08864,0.03619,0,20, 
78729, 0,28.30516,27602,25.49321,111.84600,704.98511,27.41829,27608,27.59496,141.48900,704.45135,-16.11328, 3.41797, 1039.06250, -2.77863, 2.88550, -1.61832, 25.35000, -18.90000, 60.75000, 33.30119, 6,4.59629,0.08667,0.03538,0,20, 
80470, 1,28.30200,27602,25.46555,112.22200,704.98511,27.41860,27608,27.60060,141.48900,704.45135,2.92969, 1.95312, 1041.01560, -1.41985, 1.48855, -1.80153, 24.75000, -19.80000, 60.60000, 33.15742, 6,4.49623,0.08478,0.03461,0,20, 
82212, 0,28.29632,27603,25.45415,111.69600,704.98511,27.41923,27609,27.59504,140.77000,704.45135,-11.23047, -4.39453, 1030.76170, 1.03053, 0.03817, 0.38931, 25.35000, -20.70000, 61.20000, 33.25327, 6,4.40060,0.08298,0.03388,0,20, 
