millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX (uT),magY (uT),magZ (uT),UV [0-1023],radiation count,rad count per min,uSv/h,uSv/h error,noise events,ozone concentration,
9530514,14.27,906,6.76,29.44,26264.44,1012.207,36.621,30.762,26.840,0.244,0.237,-48.300,12.750,39.750,33,816,40.92,0.77,0.03,1,20,
9532098,14.28,905,6.75,29.48,26268.24,983.398,32.715,20.996,16.473,1.702,1.664,-48.750,23.550,29.700,0,818,40.97,0.77,0.03,0,20,
9533686,14.29,905,6.76,29.39,26268.24,974.609,33.691,26.367,17.183,3.412,-2.511,-47.700,28.950,21.300,3,818,40.92,0.77,0.03,0,20,
9535270,14.31,904,6.76,29.52,26272.04,971.191,30.762,27.832,23.527,2.763,-0.779,-47.550,28.350,7.350,46,817,41.02,0.77,0.03,0,20,
9536855,14.32,905,6.76,29.50,26272.04,1004.883,38.574,28.809,16.733,3.672,0.672,-49.050,20.700,-2.700,18,817,40.96,0.77,0.03,0,20,
9538439,14.33,903,6.76,29.39,26272.04,992.676,23.437,27.832,2.244,2.656,1.313,-49.800,16.500,-3.750,0,817,40.91,0.77,0.03,0,20,
9540025,14.34,903,6.76,29.48,26279.65,1011.719,22.949,25.879,-12.053,1.435,-2.137,-49.350,19.950,-4.500,0,819,40.95,0.77,0.03,0,20,
9541609,14.35,901,6.77,29.33,26279.65,1014.160,29.297,22.461,1.809,3.015,-2.504,-48.000,21.000,0.000,24,813,40.80,0.77,0.03,0,20,
9543193,14.36,901,6.77,29.23,26283.46,1008.301,36.621,25.879,12.679,2.679,-2.931,-48.750,16.800,-5.700,0,815,40.85,0.77,0.03,0,20,
9544775,14.37,900,6.76,29.42,26283.46,1001.953,23.926,13.184,-0.557,2.374,0.771,-49.800,13.500,-7.050,0,817,40.90,0.77,0.03,0,20,
9546363,14.38,899,6.76,29.35,26287.27,1008.301,37.598,41.504,-10.061,0.702,3.305,-50.250,17.100,-3.600,0,808,40.60,0.77,0.03,0,20,
9547948,14.40,899,6.78,29.19,26291.09,1005.859,19.531,23.437,-18.237,-2.992,1.183,-50.250,23.550,3.150,41,808,40.54,0.76,0.03,0,20,
9549532,14.41,898,6.76,29.19,26294.91,1001.465,25.879,21.973,-0.794,2.916,-3.053,-48.750,26.250,7.950,76,808,40.49,0.76,0.03,1,20,
9551117,14.42,897,6.78,29.27,26298.73,1001.465,34.180,30.273,-3.855,1.122,-2.504,-48.450,27.000,6.150,75,810,40.54,0.76,0.03,0,20,
9552704,14.43,896,6.77,29.29,26302.56,983.398,24.902,21.973,-24.611,-0.176,1.962,-48.300,29.100,16.050,5,803,40.33,0.76,0.03,1,20,
9554289,14.44,896,6.77,29.21,26302.56,982.422,16.602,31.250,-30.351,0.977,-1.122,-47.700,22.050,32.250,4,804,40.33,0.76,0.03,0,20,
9555873,14.45,896,6.78,29.27,26306.39,990.723,30.762,22.461,-15.710,0.802,-0.855,-50.250,5.700,37.650,0,805,40.33,0.76,0.03,0,20,
9557457,14.46,894,6.77,29.33,26310.23,982.910,34.180,26.855,11.053,5.985,-3.985,-48.450,6.750,39.150,0,805,40.27,0.76,0.03,0,20,
9559046,14.47,893,6.77,29.09,26314.06,996.582,26.855,30.762,-3.916,2.756,1.053,-48.450,12.600,37.650,18,802,40.27,0.76,0.03,1,20,
9560630,14.49,893,6.77,29.09,26314.06,996.582,27.832,32.227,-15.977,2.511,-3.397,-49.800,5.100,39.300,0,802,40.22,0.76,0.03,0,20,
9562214,14.50,892,6.78,28.91,26317.91,1009.277,26.367,26.367,-9.748,-1.863,-0.351,-49.950,-4.200,36.600,0,803,40.22,0.76,0.03,0,20,
9563798,14.51,891,6.77,29.05,26321.75,999.512,31.250,21.973,-3.695,1.870,2.290,-50.400,-7.800,32.850,0,803,40.16,0.76,0.03,0,20,
9565386,14.52,891,6.78,29.01,26321.75,1008.789,31.738,32.227,-8.023,4.626,0.305,-48.300,-9.600,31.350,0,800,40.16,0.76,0.03,0,20,
9566970,14.53,891,6.76,28.95,26321.75,1023.926,29.297,28.809,-15.160,0.405,2.733,-49.950,-16.800,25.350,0,800,40.11,0.76,0.03,1,20,
9568555,14.54,890,6.78,28.95,26325.59,1005.371,27.344,31.738,-7.748,-1.206,3.290,-49.500,-18.600,15.150,1,803,40.20,0.76,0.03,0,20,
9570142,14.56,889,6.77,29.03,26329.45,1012.207,42.480,23.437,-7.473,3.313,-1.687,-50.100,-17.250,10.950,0,804,40.20,0.76,0.03,0,20,
9571726,14.57,889,6.77,28.95,26329.45,997.070,26.855,32.227,4.481,2.366,-1.313,-50.850,-15.750,12.450,0,801,40.20,0.76,0.03,0,20,
9573311,14.58,886,6.77,28.99,26337.16,1000.488,27.344,26.855,-5.176,3.863,-1.962,-49.350,-17.250,13.500,0,803,40.25,0.76,0.03,0,20,
9574895,14.59,886,6.78,28.99,26341.02,1006.348,26.855,30.273,1.092,-0.008,1.359,-50.700,-19.050,10.800,0,803,40.19,0.76,0.03,0,20,
9576492,14.60,886,6.76,28.91,26344.89,995.605,15.625,21.484,-4.924,-0.565,0.176,-48.750,-15.900,9.750,0,802,40.29,0.76,0.03,1,20,
9578076,14.62,885,6.78,28.79,26348.76,999.512,44.922,29.785,-14.000,1.802,-0.015,-51.000,-12.600,3.150,0,802,40.24,0.76,0.03,1,20,
9579660,14.63,883,6.78,28.87,26352.63,990.234,39.062,32.227,-10.885,3.458,-2.031,-49.350,-6.300,-1.500,0,803,40.23,0.76,0.03,0,20,
9581244,14.64,883,6.86,28.81,26356.50,1002.441,21.973,30.273,-9.359,-0.260,3.794,-50.400,-2.100,-5.250,0,803,40.18,0.76,0.03,1,20,
9582831,14.65,881,6.78,28.75,26360.39,1002.930,36.621,23.926,2.595,2.687,-3.450,-50.400,2.100,-8.400,0,796,39.98,0.75,0.03,0,20,
9584416,14.67,880,6.78,28.77,26364.27,995.605,35.156,25.879,3.450,3.290,-0.656,-49.950,-2.250,-6.450,0,798,40.02,0.75,0.03,0,20,
9586000,14.68,879,6.81,28.65,26368.16,1013.672,44.434,21.484,1.473,6.626,-2.321,-49.950,-4.200,-5.400,0,799,40.02,0.75,0.03,0,20,
9587585,14.69,878,6.88,28.71,26372.05,1004.883,31.738,34.668,16.756,3.863,-1.947,-49.950,-9.450,0.600,0,800,40.02,0.75,0.03,0,20,
9589173,14.71,878,6.77,28.75,26375.94,1007.812,37.109,32.715,11.015,3.092,-0.855,-50.700,-16.800,11.850,0,802,40.27,0.76,0.03,0,20,
9590757,14.72,878,6.77,28.67,26372.05,1002.441,38.086,17.090,7.802,1.229,-2.603,-50.400,-17.250,15.000,0,805,40.36,0.76,0.03,0,20,
9592341,14.73,877,6.77,28.75,26379.84,1008.301,26.855,27.344,9.183,0.183,2.000,-49.800,-17.700,21.150,0,805,40.31,0.76,0.03,0,20,
